員工ID,員工滿意度評分,近期反饋內容
A1001,4,工作氣氛良好，團隊合作融洽，同事間相互支持
A1002,2,常態性加班導致生活品質下降，難以兼顧家庭
A1003,5,公司制度透明，晉升機會明確，主管態度積極
A1004,3,雖有學習空間，但工作流程有待改善
A1005,1,工作無成就感，缺乏認同與鼓勵
A1006,4,辦公環境舒適，彈性工時讓生活更自由
A1007,2,部門溝通不良，跨部門協作困難
A1008,5,獲得充分授權與信任，能自主安排工作
A1009,3,工作內容重複性高，缺少挑戰
A1010,1,主管管理風格強勢，感到壓力過大
A1011,5,有良好的職涯規劃建議與訓練資源
A1012,2,薪資成長幅度低於市場水準，感到不被重視
A1013,4,近期參加內部培訓收穫良多，對未來充滿期待
A1014,3,與同事相處和諧，但主管溝通方式需加強
A1015,1,長時間處於壓力環境，身心俱疲
A1016,4,工作彈性高，能自由安排時程
A1017,2,部門常變動，感到不安定
A1018,5,主管樂於溝通並給予明確方向，感到被支持
A1019,3,對工作熱忱尚在，但期望能有更多挑戰性專案
A1020,1,人事制度不透明，晉升無望
A1021,5,公司文化包容多元，工作充滿成就感
A1022,2,獎勵制度不明確，努力與回報不成正比
A1023,4,專案安排合理，團隊目標一致
A1024,3,雖穩定但感到缺乏成長空間
A1025,1,被排擠與孤立，工作氣氛惡劣
A1026,5,參與專案成就感高，團隊氛圍良好
A1027,2,主管決策反覆，執行上混亂
A1028,4,有機會發揮專長，認同公司的願景
A1029,3,工作單調，希望有更多輪調機會
A1030,1,對管理制度失望，感到未受公平對待
A1031,5,對公司文化高度認同，願意長期發展
A1032,2,升遷機會太少，缺乏未來展望
A1033,4,近期專案合作愉快，表現被主管肯定
A1034,3,工作還算穩定，但希望有更高薪資誘因
A1035,1,工作與家庭無法平衡，考慮轉職
A1036,5,公司注重員工福祉，身心壓力小
A1037,2,辦公室政治嚴重，影響工作動力
A1038,4,制度清楚，流程順暢，溝通有效率
A1039,3,工作氛圍普通，沒有太多感受
A1040,1,上班成為壓力來源，無心工作
A1041,5,受到主管重視並給予實質協助
A1042,2,工作不被肯定，缺乏回饋機制
A1043,4,彈性遠距政策有效提升工作效率
A1044,3,職務內容與期望有落差
A1045,1,工時超長且缺乏休息空間
A1046,5,團隊正向且互助，氣氛佳
A1047,2,人力不足，常需超時支援其他部門
A1048,4,工作挑戰性高但有對應的支持資源
A1049,3,表現雖穩定，但看不到成長軌跡
A1050,1,情緒管理困難，影響工作表現
