員工ID,姓名,性別,年齡,入職日期,部門,職位,每月平均出勤天數,請假天數,遲到次數,基本薪資,年度獎金,加班費,年度績效評分,季度績效評分,升遷次數,員工滿意度評分,近期反饋內容,壓力指數,工作滿意度,最近一次訪談情緒分析,是否有內部轉調,最近一次升遷時間,是否申請過離職
E0001,員工001,女,48,2010-12-03,財務,經理,21,9,5,75246,32621,2353,2.46,2.27,3,1.97,希望有更多學習機會,7.77,1.26,負向,是,2014-10-08,是
E0002,員工002,女,55,2015-08-21,營運,經理,25,2,1,38156,43545,11829,2.83,3.4,1,3.32,工作負擔過重,7.92,4.94,中立,是,2016-04-18,否
E0003,員工003,男,47,2018-06-21,人資,專員,25,4,3,34480,10988,4751,3.17,4.13,3,4.9,薪資有競爭力,7.01,2.21,中立,是,2019-08-23,否
E0004,員工004,女,49,2019-01-05,營運,專員,22,4,0,86611,10497,17877,1.38,4.23,1,2.84,工作壓力大,7.42,4.04,負向,是,2020-04-23,否
E0005,員工005,男,41,2019-05-11,客服,總監,23,0,4,48731,32097,6360,1.57,3.92,3,2.98,對公司文化滿意,7.56,3.79,中立,否,2020-06-14,否
E0006,員工006,女,57,2015-06-24,客服,主管,25,4,2,69522,14808,8815,2.83,4.76,2,2.0,工作壓力大,1.3,1.95,正向,否,2019-06-25,是
E0007,員工007,女,60,2019-07-31,營運,總監,25,0,2,95753,29182,19275,1.2,3.45,3,4.58,工作壓力大,5.12,2.3,正向,是,2020-03-01,是
E0008,員工008,男,56,2012-05-23,行銷,經理,18,2,3,60837,29402,6643,1.81,1.86,0,1.9,對公司文化滿意,9.83,3.73,正向,否,2013-02-13,是
E0009,員工009,女,27,2018-06-11,產品,專員,24,6,4,98196,25346,13050,1.77,2.07,0,3.31,工作壓力大,1.53,1.86,正向,否,2020-06-19,是
E0010,員工010,女,42,2021-02-02,人資,資深經理,24,7,4,68119,18173,4805,2.61,3.55,2,4.38,希望有更多學習機會,3.27,3.71,負向,是,2024-02-08,否
E0011,員工011,男,46,2022-02-16,財務,資深經理,23,5,2,55621,542,9300,1.64,4.59,1,1.5,對公司文化滿意,1.15,2.27,正向,是,2024-11-06,否
E0012,員工012,女,47,2014-03-23,產品,資深經理,20,4,3,114356,42966,11605,1.99,1.19,1,3.07,工作壓力大,1.84,4.84,負向,是,2018-01-24,否
E0013,員工013,女,55,2023-08-09,營運,經理,20,7,1,67373,32563,4189,3.8,1.01,2,1.01,工作負擔過重,2.76,3.24,中立,是,2024-08-16,否
